Hash Function,Size,addTime (ns)
BadHashFunctor,100,250917
BadHashFunctor,200,246000
BadHashFunctor,300,526625
BadHashFunctor,400,524667
BadHashFunctor,500,237833
BadHashFunctor,600,235292
BadHashFunctor,700,283459
BadHashFunctor,800,356084
BadHashFunctor,900,297875
BadHashFunctor,1000,389166
GoodHashFunctor,100,31375
GoodHashFunctor,200,42209
GoodHashFunctor,300,59750
GoodHashFunctor,400,82417
GoodHashFunctor,500,107625
GoodHashFunctor,600,125917
GoodHashFunctor,700,77500
GoodHashFunctor,800,95042
GoodHashFunctor,900,110167
GoodHashFunctor,1000,115416
MediocreHashFunctor,100,20667
MediocreHashFunctor,200,42208
MediocreHashFunctor,300,62292
MediocreHashFunctor,400,83166
MediocreHashFunctor,500,105292
MediocreHashFunctor,600,126458
MediocreHashFunctor,700,147417
MediocreHashFunctor,800,98750
MediocreHashFunctor,900,244292
MediocreHashFunctor,1000,115166
